seq	devision	phylum	class	order	family	genus
seq_00001	Bacteria	Cyanobacteriota	Chloroplast	Chloroplast_incertae_sedis	Chloroplast	Streptophyta
seq_00002	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium
seq_00003	Bacteria	Bacillota	Bacilli	Caryophanales	Listeriaceae	Listeria
seq_00004	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	NA	NA
seq_00005	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
seq_00006	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
seq_00013	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia
seq_00014	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
seq_00015	NA	NA	NA	NA	NA	NA
seq_00017	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA
seq_00019	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Methylobacterium
seq_00020	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	NA	NA
seq_00021	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Microterricola
seq_00022	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea
seq_00023	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
seq_00024	NA	NA	NA	NA	NA	NA
seq_00025	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Rathayibacter
seq_00026	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Aquabacterium
seq_00027	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Sulfuricurvum
seq_00029	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	NA
seq_00032	Bacteria	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter
seq_00033	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	NA
seq_00034	NA	NA	NA	NA	NA	NA
seq_00036	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	NA
seq_00037	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Hymenobacteraceae	Hymenobacter
seq_00038	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas
seq_00039	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
seq_00041	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Tepidimonas
seq_00045	NA	NA	NA	NA	NA	NA
seq_00052	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
seq_00056	NA	NA	NA	NA	NA	NA
seq_00060	Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Archangiaceae	Cystobacter
seq_00062	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Cloacibacterium
seq_00063	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Clavibacter
seq_00064	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Nocardiaceae	Rhodococcus
seq_00065	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Aurantimonadaceae	Aureimonas
seq_00066	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium
seq_00073	Bacteria	Actinomycetota	Actinobacteria	Geodermatophilales	Geodermatophilaceae	NA
seq_00074	NA	NA	NA	NA	NA	NA
seq_00075	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Lichenibacteriaceae	Lichenibacterium
seq_00076	Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Polyangiaceae	NA
seq_00082	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter
seq_00083	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Paeniglutamicibacter
seq_00084	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Rahnella
seq_00086	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteimonas
seq_00087	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	NA
seq_00089	NA	NA	NA	NA	NA	NA
seq_00092	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Duganella
seq_00096	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium
seq_00101	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Beutenbergiaceae	Serinibacter
seq_00102	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax
seq_00107	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Roseateles
seq_00110	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	NA	NA
seq_00113	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	NA
seq_00114	Bacteria	Bacillota	Bacilli	Caryophanales	Staphylococcaceae	Staphylococcus
seq_00115	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
seq_00116	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
seq_00117	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Spirosomaceae	Spirosoma
seq_00118	Bacteria	Candidatus_Saccharibacteria	Candidatus_Saccharibacteria_incertae_sedis	Candidatus_Saccharibacteria_incertae_sedis	Candidatus_Saccharibacteria_incertae_sedis	Saccharibacteria_genera_incertae_sedis
seq_00119	NA	NA	NA	NA	NA	NA
seq_00120	Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	NA	NA
seq_00121	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas
seq_00123	Bacteria	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	NA
seq_00125	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Novosphingobium
seq_00127	NA	NA	NA	NA	NA	NA
seq_00128	Bacteria	Actinomycetota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinomycetospora
seq_00130	Bacteria	Actinomycetota	Actinobacteria	Kineosporiales	Kineosporiaceae	Kineococcus
seq_00131	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Microlunatus
seq_00132	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Aurantimonadaceae	NA
seq_00133	Bacteria	Cyanobacteriota	NA	NA	NA	NA
seq_00134	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA
seq_00136	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides
seq_00137	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	NA
seq_00140	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA
seq_00141	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter
seq_00143	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas
