OD	Sample_names	Sites	Sampler	duration	Type	Tube	Material	Buffer_vol	Dates	Site_Code	Sampler_Code	Date_Code	Comment	Plate	well	DNAC
141	1DC30	Duebendorf	Coriolis	30 min	active	BeadRupt_2ml	PC_filter_0.2_25mm	2	2022-07-05T00:00:00Z	D	C	1	no liquid	Plate_1	A_1	0.02417319444554001
382	1DC5	Duebendorf	Coriolis	5 hours	active	BeadRupt_2ml	PC_filter_0.2_25mm	2	2022-07-05T00:00:00Z	D	C	1	no liquid	Plate_1	A_2	0.06549049842692399
91	4HCcontrol	Haslibach	Coriolis	NA	field_control	BeadRupt_2ml	PC_filter_0.2_25mm	2	2022-07-08T00:00:00Z	H	C	4	NA	Plate_1	A_3	0.015601139677618019
165	7WE30	Weierbach	Electrostatic	30 min	active	BeadRupt_2ml	Swab	2	2022-07-11T00:00:00Z	W	E	7	NA	Plate_1	A_4	0.02828778073414256
119	6GE5	Gaebelbach	Electrostatic	5 hours	active	BeadRupt_2ml	Swab	2	2022-07-10T00:00:00Z	G	E	6	NA	Plate_1	A_5	0.020401490347654334
76	4HB30	Haslibach	Burkhart	30 min	active	Eppi_1.5	none	1.5	2022-07-08T00:00:00Z	H	B	4	NA	Plate_1	A_6	0.013029523247241423
107	3CB5	Coruz	Burkhart	5 hours	active	Eppi_1.5	none	1.5	2022-07-07T00:00:00Z	C	B	3	NA	Plate_1	A_7	0.018344197203353056
50	7WBcontrol	Weierbach	Burkhart	NA	field_control	Eppi_1.5	none	1.5	2022-07-11T00:00:00Z	W	B	7	NA	Plate_1	A_8	0.008572054767921989
62	9RM2	Riedgraben	MWAC	2 weeks	passive	BeadRupt_2ml	PC_filter_0.2_25mm	2	2022-07-31T00:00:00Z	R	M	9	NA	Plate_1	A_9	0.010629347912223266
128	3CD3	Coruz	Drone	10 min	active	BeadRupt_2ml	Swab_and_grease	2	2022-07-07T00:00:00Z	C	D	3	NA	Plate_1	A_10	0.02194446020588029
62	1DS30	Duebendorf	Sass	30 min	active	BeadRupt_7ml	SASS_filter	3	2022-07-05T00:00:00Z	D	S	1	NA	Plate_2	A_1	0.010629347912223266
61	8RS30	Riedgraben	Sass	30 min	active	BeadRupt_7ml	SASS_filter	3	2022-07-12T00:00:00Z	R	S	8	NA	Plate_2	A_2	0.010457906816864827
60	BLANK6	NA	Extraction Blanks	NA	field_control	NA	NA	NA	NA	NA	NA	NA	NA	Plate_2	A_3	0.010286465721506386
79	5LH30	Leugene	Hepa	30 min	active	BeadRupt_7ml	Hepa_filter_90mm	3	2022-07-09T00:00:00Z	L	H	5	NA	Plate_2	A_4	0.013543846533316741
251	5LH5	Leugene	Hepa	5 hours	active	BeadRupt_7ml	Hepa_filter_90mm	3	2022-07-09T00:00:00Z	L	H	5	NA	Plate_2	A_5	0.043031714934968386
179	9TF2	Talent	WSL_Filter	2 weeks	passive	BeadRupt_7ml	Glass_Fiber_90mm	3	2022-07-31T00:00:00Z	T	F	9	NA	Plate_2	A_6	0.030687956069160718
241	1DK30	Duebendorf	Kärcher	30 min	active	Sterivex_in_Falcon	Sterivex_0.2	2	2022-07-05T00:00:00Z	D	K	1	NA	Plate_2	A_7	0.04131730398138399
125	8RK30	Riedgraben	Kärcher	30 min	active	Sterivex_in_Falcon	Sterivex_0.2	2	2022-07-12T00:00:00Z	R	K	8	NA	Plate_2	A_8	0.02143013691980497
18834	7WK5	Weierbach	Kärcher	5 hours	active	Sterivex_in_Falcon	Sterivex_0.2	2	2022-07-11T00:00:00Z	W	K	7	NA	Plate_2	A_9	3.2289215899808545
96	1DC30	Duebendorf	Coriolis	30 min	active	BeadRupt_2ml	PC_filter_0.2_25mm	2	2022-07-05T00:00:00Z	D	C	1	no liquid	Plate_1	A_1	0.01645834515441022
332	1DC5	Duebendorf	Coriolis	5 hours	active	BeadRupt_2ml	PC_filter_0.2_25mm	2	2022-07-05T00:00:00Z	D	C	1	no liquid	Plate_1	A_2	0.056918443659002005
90	4HCcontrol	Haslibach	Coriolis	NA	field_control	BeadRupt_2ml	PC_filter_0.2_25mm	2	2022-07-08T00:00:00Z	H	C	4	NA	Plate_1	A_3	0.01542969858225958
144	7WE30	Weierbach	Electrostatic	30 min	active	BeadRupt_2ml	Swab	2	2022-07-11T00:00:00Z	W	E	7	NA	Plate_1	A_4	0.024687517731615326
102	6GE5	Gaebelbach	Electrostatic	5 hours	active	BeadRupt_2ml	Swab	2	2022-07-10T00:00:00Z	G	E	6	NA	Plate_1	A_5	0.017486991726560857
67	4HB30	Haslibach	Burkhart	30 min	active	Eppi_1.5	none	1.5	2022-07-08T00:00:00Z	H	B	4	NA	Plate_1	A_6	0.011486553389015464
97	3CB5	Coruz	Burkhart	5 hours	active	Eppi_1.5	none	1.5	2022-07-07T00:00:00Z	C	B	3	NA	Plate_1	A_7	0.016629786249768658
56	7WBcontrol	Weierbach	Burkhart	NA	field_control	Eppi_1.5	none	1.5	2022-07-11T00:00:00Z	W	B	7	NA	Plate_1	A_8	0.009600701340072628
