Index	Plate	row	col	Sample_names	out_reads	iSeq1
NGS_UDP0001	Plate_1	A	1	1DC30	902	2794
NGS_UDP0002	Plate_1	A	2	1DC5	1071	3237
NGS_UDP0003	Plate_1	A	3	4HCcontrol	8	25
NGS_UDP0004	Plate_1	A	4	7WE30	1092	3401
NGS_UDP0005	Plate_1	A	5	6GE5	1557	4604
NGS_UDP0006	Plate_1	A	6	4HB30	1254	3855
NGS_UDP0007	Plate_1	A	7	3CB5	918	2889
NGS_UDP0008	Plate_1	A	8	7WBcontrol	15	52
NGS_UDP0009	Plate_1	A	9	9RM2	1139	3329
NGS_UDP0010	Plate_1	A	10	3CD3	1054	3078
NGS_UDP0011	Plate_1	A	11	1DS30	0	3181
NGS_UDP0012	Plate_1	A	12	8RS30	0	2741
NGS_UDP0013	Plate_1	B	1	2TC30	1246	3734
NGS_UDP0014	Plate_1	B	2	2TC5	1992	6075
NGS_UDP0015	Plate_1	B	3	7WCcontrol	10	29
NGS_UDP0016	Plate_1	B	4	8RE30	993	2910
NGS_UDP0017	Plate_1	B	5	7WE5	2631	8318
NGS_UDP0018	Plate_1	B	6	5LB30	203	614
NGS_UDP0019	Plate_1	B	7	4HB5	1359	4291
NGS_UDP0020	Plate_1	B	8	9DM2	1919	5913
NGS_UDP0021	Plate_1	B	9	9M2control1	12	30
NGS_UDP0022	Plate_1	B	10	BLANK4	2	5
NGS_UDP0023	Plate_1	B	11	2TS30	0	2676
NGS_UDP0024	Plate_1	B	12	1DS5	0	3796
NGS_UDP0025	Plate_1	C	1	3CC30	1815	5289
NGS_UDP0026	Plate_1	C	2	3CC5	2151	6750
NGS_UDP0027	Plate_1	C	3	1DE30	1665	4813
NGS_UDP0028	Plate_1	C	4	1DE5	1813	5368
NGS_UDP0029	Plate_1	C	5	8RE5	2427	7142
NGS_UDP0030	Plate_1	C	6	6GB30	1011	3123
NGS_UDP0031	Plate_1	C	7	5LB5	803	2357
NGS_UDP0032	Plate_1	C	8	9TM2	1428	4188
NGS_UDP0033	Plate_1	C	9	9M2control2	11	8
NGS_UDP0034	Plate_1	C	10	3CD4	1517	4471
NGS_UDP0035	Plate_1	C	11	3CS30	0	6072
NGS_UDP0036	Plate_1	C	12	2TS5	920	2734
NGS_UDP0037	Plate_1	D	1	4HC30	580	1914
NGS_UDP0038	Plate_1	D	2	4HC5	1581	4919
NGS_UDP0039	Plate_1	D	3	2TE30	0	373
NGS_UDP0040	Plate_1	D	4	BLANK1	0	3
NGS_UDP0041	Plate_1	D	5	4HEcontrol	189	571
NGS_UDP0042	Plate_1	D	6	BLANK2	0	2
NGS_UDP0043	Plate_1	D	7	6GB5	1383	3855
NGS_UDP0044	Plate_1	D	8	9CM2	1310	3828
NGS_UDP0045	Plate_1	D	9	1DD30	0	44
NGS_UDP0046	Plate_1	D	10	3CD5	1435	4288
NGS_UDP0047	Plate_1	D	11	4HS30	0	4967
NGS_UDP0048	Plate_1	D	12	3CS5	1351	4118
NGS_UDP0049	Plate_1	E	1	5LC30	810	2415
NGS_UDP0050	Plate_1	E	2	5LC5	1428	4163
NGS_UDP0051	Plate_1	E	3	3CE30	764	2247
NGS_UDP0052	Plate_1	E	4	2TE5	2331	7252
NGS_UDP0053	Plate_1	E	5	7WEcontrol	34	125
NGS_UDP0054	Plate_1	E	6	7WB30	305	917
NGS_UDP0055	Plate_1	E	7	7WB5	2307	6682
NGS_UDP0056	Plate_1	E	8	9HM2	1546	4706
NGS_UDP0057	Plate_1	E	9	3CD30	1399	4298
NGS_UDP0058	Plate_1	E	10	3CD6	390	1205
NGS_UDP0059	Plate_1	E	11	5LS30	0	8192
NGS_UDP0060	Plate_1	E	12	4HS5	1831	5786
NGS_UDP0061	Plate_1	F	1	6GC30	749	2242
NGS_UDP0062	Plate_1	F	2	6GC5	1762	5331
NGS_UDP0063	Plate_1	F	3	4HE30	1369	4118
NGS_UDP0064	Plate_1	F	4	3CE5	2238	6881
NGS_UDP0065	Plate_1	F	5	1DB30	985	2901
NGS_UDP0066	Plate_1	F	6	8RB30	0	2524
NGS_UDP0067	Plate_1	F	7	8RB5	1378	4223
NGS_UDP0068	Plate_1	F	8	9LM2	3629	10544
NGS_UDP0069	Plate_1	F	9	4HD30	926	2651
NGS_UDP0070	Plate_1	F	10	3CDcontrol	0	8
NGS_UDP0071	Plate_1	F	11	BLANK5	12	34
NGS_UDP0072	Plate_1	F	12	5LS5	1120	3354
NGS_UDP0073	Plate_1	G	1	7WC30	597	1734
NGS_UDP0074	Plate_1	G	2	7WC5	2357	7141
NGS_UDP0075	Plate_1	G	3	5LE30	1029	3470
NGS_UDP0076	Plate_1	G	4	4HE5	4241	12929
NGS_UDP0077	Plate_1	G	5	2TB30	0	652
NGS_UDP0078	Plate_1	G	6	1DB5	496	1461
NGS_UDP0079	Plate_1	G	7	4HBcontrol	NA	15
NGS_UDP0080	Plate_1	G	8	9GM2	1787	5235
NGS_UDP0081	Plate_1	G	9	3CD1	1873	5433
