SPECIES	AUTHOR	STATUS	kingdom	phylum	class	order	family	genus	maybe_accepted_name	taxon_id	rank	accepted_name	authorship	synonyms	messages
Abortiporus biennis	(Bull.: Fr.) Singer	VU	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Podoscyphaceae	Abortiporus	Abortiporus biennis	2544114	species	Abortiporus biennis	(Bull.) Singer		
Achroomyces effusus	(J. Schroet.) Mig.	DD	Fungi	Basidiomycota	Microbotryomycetes		Colacogloeaceae	Colacogloea	Colacogloea effusa	11528454	species	Colacogloea effusa	(J.Schröt.) Malysheva, Schoutteten & Spirin		
Achroomyces peniophorae	(Bourdot et Galzin) Wojewoda	DD	Fungi	Basidiomycota	Microbotryomycetes		Colacogloeaceae	Colacogloea	Colacogloea peniophorae	2556408	species	Colacogloea peniophorae	(Bourdot & Galzin) Oberw., R.Bauer & Bandoni		
Achroomyces sebaceus	(Berk. et Broome) Wojewoda	DD	Fungi	Basidiomycota	Cystobasidiomycetes	Naohideales	Naohideaceae	Naohidea	Naohidea sebacea	2555989	species	Naohidea sebacea	(Berk. & Broome) Oberw.		
Acrospermum compressum	Tode	LC	Fungi	Ascomycota	Dothideomycetes	Acrospermales	Acrospermaceae	Acrospermum	Acrospermum compressum	2612450	species	Acrospermum compressum	Tode		
Actinoscypha muelleri	Graddon	DD	Fungi	Ascomycota	Leotiomycetes	Helotiales	Pezizellaceae	Actinoscypha	Actinoscypha muelleri	3286587	species	Actinoscypha muelleri	Graddon		
Adelphella babingtonii	(Berk. & Broome) Pfister, Matočec & I. Kušan	LC	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Adelphella	Adelphella babingtonii	3494731	species	Adelphella babingtonii	(Berk. & Broome) Pfister, Matočec & I.Kušan		
Agaricus aestivalis	(F.H. Moeller) Pilat	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus altipes	5243464	species	Agaricus altipes	(F.H.Møller) F.H.Møller		
Agaricus altipes	(F.H. Moeller) Pilat	EN	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus altipes	5243464	species	Agaricus altipes	(F.H.Møller) F.H.Møller		
Agaricus annae	Pilat	DD	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus annae	5455722	species	Agaricus annae	Pilát		
Agaricus arvensis	Schff.:Fr.	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus arvensis	5243403	species	Agaricus arvensis	Schaeff.		
Agaricus augustus	Fr.	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus augustus	5243429	species	Agaricus augustus	Fr.		
Agaricus benesii	Pilat	VU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus benesii	8353373	species	Agaricus benesii	(Pilát) Pilát		
Agaricus bernardii	(Quel.) Sacc.	DD	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus bernardii	5243392	species	Agaricus bernardii	Quél.		
Agaricus bisporus	(J.E. Lange) Imbach	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus bisporus	5243447	species	Agaricus bisporus	(J.E.Lange) Imbach		
Agaricus bitorquis	(Quel.) Sacc.	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus bitorquis	5243374	species	Agaricus bitorquis	(Quél.) Sacc.		
Agaricus bresadolae	Schulzer	DD	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Leucoagaricus	Leucoagaricus americanus	2535839	species	Leucoagaricus americanus	(Peck) Vellinga		
Agaricus bresadolanus	Bohus	DD	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus bresadolanus	5243347	species	Agaricus bresadolanus	Bohus		
Agaricus campestris	L.: Fr.	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus campestris	5243458	species	Agaricus campestris	L.		
Agaricus chionodermus	Pilat	DD	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus chionodermus	5458123	species	Agaricus chionodermus	Pilát		
Agaricus comtulus	Fr.	NT	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus comtulus	5243354	species	Agaricus comtulus	Fr.		
Agaricus cupreobrunneus	(Jul. Schaeff. et Steer) F.H. Moeller	DD	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus cupreobrunneus	5243433	species	Agaricus cupreobrunneus	(Jul.Schäff. & Steer) Pilát		
Agaricus essettei	Bon	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus sylvicola	8365581	species	Agaricus sylvicola	(Vittad.) Peck		
Agaricus excellens	(F.H. Moeller) F.H. Moeller	VU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus urinascens	3336440	species	Agaricus urinascens	(Jul.Schäff. & F.H.Møller) Singer		
Agaricus floccipes	(Moeller) Bohus em. Bohus	DD	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus moellerianus	5243441	species	Agaricus moellerianus	Bon		
Agaricus fuscofibrillosus	(F.H. Moeller) Pilat	DD	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus fuscofibrillosus	5243473	species	Agaricus fuscofibrillosus	(F.H.Møller) Pilát		
Agaricus impudicus	(Rea) M.Lange	DD	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus impudicus	5243420	species	Agaricus impudicus	(Rea) Pilát		author_mismatch
Agaricus langei	(F.H. Moeller) F.H. Moeller	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus langei	8336113	species	Agaricus langei	(F.H.Møller) F.H.Møller		
Agaricus lanipes	(F.H. Moeller et Jul. Schaeff.) Singer	VU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus lanipes	5243351	species	Agaricus lanipes	(F.H.Møller & Jul.Schäff.) Hlaváček		
Agaricus leucotrichus	(F.H. Moeller) F.H. Moeller	EN	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus arvensis	5243403	species	Agaricus arvensis	Schaeff.		
Agaricus luteomaculatus	(F.H. Moeller) F.H. Moeller	VU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus luteomaculatus	7755728	species	Agaricus luteomaculatus	F.H.Møller		
Agaricus lutosus	(F.H. Moeller) F.H. Moeller	EN	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus lutosus	5243399	species	Agaricus lutosus	F.H.Møller		
Agaricus macrocarpus	(F.H. Moeller) F.H. Moeller	VU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus macrocarpus	7937063	species	Agaricus macrocarpus	F.H.Møller		
Agaricus macrosporus	(Moell.et Schaeff.) Pilat	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus urinascens	3336440	species	Agaricus urinascens	(Jul.Schäff. & F.H.Møller) Singer		
Agaricus maleolens	F.H. Moeller	VU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus bernardii	5243392	species	Agaricus bernardii	Quél.		
Agaricus maskae	Pilat	DD	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus litoralis	5243438	species	Agaricus litoralis	(Wakef. & A.Pearson) Pilát		
Agaricus mediofuscus	(F.H. Moeller) Pilat	DD	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus langei	8336113	species	Agaricus langei	(F.H.Møller) F.H.Møller		
Agaricus niveolutescens	Huijsman	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus comtulus	5243354	species	Agaricus comtulus	Fr.		
Agaricus nivescens	(F.H. Moeller) F.H. Moeller	VU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus urinascens	3336440	species	Agaricus urinascens	(Jul.Schäff. & F.H.Møller) Singer		
Agaricus pampeanus	Speg.	DD	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Naucoria	Naucoria pampeana	12240467	species	Naucoria pampeana	(Speg.) Rick		
Agaricus phaeolepidotus	(F.H. Moeller) F.H. Moeller	DD	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus phaeolepidotus	8240628	species	Agaricus phaeolepidotus	F.H.Møller		
Agaricus pilatianus	Bohus	DD	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus pilatianus	6014790	species	Agaricus pilatianus	(Bohus) Bohus		
Agaricus porphyrizon	P.D. Orton	VU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus porphyrizon	5243397	species	Agaricus porphyrizon	P.D.Orton		
Agaricus praeclaresquamosus	Freeman	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus moelleri	5243496	species	Agaricus moelleri	Wasser		
Agaricus pseudopratensis	(Bohus) Wasser	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus pseudopratensis	5243346	species	Agaricus pseudopratensis	(Bohus) Wasser		
