Plate	row	col	Sample_names	Sites	Sampler	duration	Type	Index
Plate_1	A	1	1DC30	Duebendorf	Coriolis	30 min	active	NGS_UDP0001
Plate_1	A	2	1DC5	Duebendorf	Coriolis	5 hours	active	NGS_UDP0002
Plate_1	A	3	4HCcontrol	Haslibach	Coriolis	NA	field_control	NGS_UDP0003
Plate_1	A	4	7WE30	Weierbach	Electrostatic	30 min	active	NGS_UDP0004
Plate_1	A	5	6GE5	Gaebelbach	Electrostatic	5 hours	active	NGS_UDP0005
Plate_1	A	6	4HB30	Haslibach	Burkhart	30 min	active	NGS_UDP0006
Plate_1	A	7	3CB5	Coruz	Burkhart	5 hours	active	NGS_UDP0007
Plate_1	A	8	7WBcontrol	Weierbach	Burkhart	NA	field_control	NGS_UDP0008
Plate_1	A	9	9RM2	Riedgraben	MWAC	2 weeks	passive	NGS_UDP0009
Plate_1	A	10	3CD3	Coruz	Drone	10 min	active	NGS_UDP0010
Plate_1	A	11	1DS30	Duebendorf	Sass	30 min	active	NGS_UDP0011
Plate_1	A	12	8RS30	Riedgraben	Sass	30 min	active	NGS_UDP0012
Plate_1	B	1	2TC30	Talent	Coriolis	30 min	active	NGS_UDP0013
Plate_1	B	2	2TC5	Talent	Coriolis	5 hours	active	NGS_UDP0014
Plate_1	B	3	7WCcontrol	Weierbach	Coriolis	NA	field_control	NGS_UDP0015
Plate_1	B	4	8RE30	Riedgraben	Electrostatic	30 min	active	NGS_UDP0016
Plate_1	B	5	7WE5	Weierbach	Electrostatic	5 hours	active	NGS_UDP0017
Plate_1	B	6	5LB30	Leugene	Burkhart	30 min	active	NGS_UDP0018
Plate_1	B	7	4HB5	Haslibach	Burkhart	5 hours	active	NGS_UDP0019
Plate_1	B	8	9DM2	Duebendorf	MWAC	2 weeks	passive	NGS_UDP0020
Plate_1	B	9	9M2control1	NA	MWAC	NA	field_control	NGS_UDP0021
Plate_1	B	10	BLANK4	NA	Extraction Blanks	NA	extr_control	NGS_UDP0022
Plate_1	B	11	2TS30	Talent	Sass	30 min	active	NGS_UDP0023
Plate_1	B	12	1DS5	Duebendorf	Sass	5 hours	active	NGS_UDP0024
Plate_1	C	1	3CC30	Coruz	Coriolis	30 min	active	NGS_UDP0025
Plate_1	C	2	3CC5	Coruz	Coriolis	5 hours	active	NGS_UDP0026
Plate_1	C	3	1DE30	Duebendorf	Electrostatic	30 min	active	NGS_UDP0027
Plate_1	C	4	1DE5	Duebendorf	Electrostatic	5 hours	active	NGS_UDP0028
Plate_1	C	5	8RE5	Riedgraben	Electrostatic	5 hours	active	NGS_UDP0029
Plate_1	C	6	6GB30	Gaebelbach	Burkhart	30 min	active	NGS_UDP0030
Plate_1	C	7	5LB5	Leugene	Burkhart	5 hours	active	NGS_UDP0031
Plate_1	C	8	9TM2	Talent	MWAC	2 weeks	passive	NGS_UDP0032
Plate_1	C	9	9M2control2	NA	MWAC	NA	field_control	NGS_UDP0033
Plate_1	C	10	3CD4	Coruz	Drone	10 min	active	NGS_UDP0034
Plate_1	C	11	3CS30	Coruz	Sass	30 min	active	NGS_UDP0035
Plate_1	C	12	2TS5	Talent	Sass	5 hours	active	NGS_UDP0036
Plate_1	D	1	4HC30	Haslibach	Coriolis	30 min	active	NGS_UDP0037
Plate_1	D	2	4HC5	Haslibach	Coriolis	5 hours	active	NGS_UDP0038
Plate_1	D	3	2TE30	Talent	Electrostatic	30 min	active	NGS_UDP0039
Plate_1	D	4	BLANK1	NA	Extraction Blanks	NA	extr_control	NGS_UDP0040
Plate_1	D	5	4HEcontrol	Haslibach	Electrostatic	NA	field_control	NGS_UDP0041
Plate_1	D	6	BLANK2	NA	Extraction Blanks	NA	extr_control	NGS_UDP0042
Plate_1	D	7	6GB5	Gaebelbach	Burkhart	5 hours	active	NGS_UDP0043
Plate_1	D	8	9CM2	Coruz	MWAC	2 weeks	passive	NGS_UDP0044
Plate_1	D	9	1DD30	Duebendorf	Drone	30 min	active	NGS_UDP0045
Plate_1	D	10	3CD5	Coruz	Drone	10 min	active	NGS_UDP0046
Plate_1	D	11	4HS30	Haslibach	Sass	30 min	active	NGS_UDP0047
Plate_1	D	12	3CS5	Coruz	Sass	5 hours	active	NGS_UDP0048
Plate_1	E	1	5LC30	Leugene	Coriolis	30 min	active	NGS_UDP0049
Plate_1	E	2	5LC5	Leugene	Coriolis	5 hours	active	NGS_UDP0050
Plate_1	E	3	3CE30	Coruz	Electrostatic	30 min	active	NGS_UDP0051
Plate_1	E	4	2TE5	Talent	Electrostatic	5 hours	active	NGS_UDP0052
Plate_1	E	5	7WEcontrol	Weierbach	Electrostatic	NA	field_control	NGS_UDP0053
Plate_1	E	6	7WB30	Weierbach	Burkhart	30 min	active	NGS_UDP0054
Plate_1	E	7	7WB5	Weierbach	Burkhart	5 hours	active	NGS_UDP0055
Plate_1	E	8	9HM2	Haslibach	MWAC	2 weeks	passive	NGS_UDP0056
Plate_1	E	9	3CD30	Coruz	Drone	30 min	active	NGS_UDP0057
Plate_1	E	10	3CD6	Coruz	Drone	10 min	active	NGS_UDP0058
Plate_1	E	11	5LS30	Leugene	Sass	30 min	active	NGS_UDP0059
Plate_1	E	12	4HS5	Haslibach	Sass	5 hours	active	NGS_UDP0060
Plate_1	F	1	6GC30	Gaebelbach	Coriolis	30 min	active	NGS_UDP0061
Plate_1	F	2	6GC5	Gaebelbach	Coriolis	5 hours	active	NGS_UDP0062
Plate_1	F	3	4HE30	Haslibach	Electrostatic	30 min	active	NGS_UDP0063
Plate_1	F	4	3CE5	Coruz	Electrostatic	5 hours	active	NGS_UDP0064
Plate_1	F	5	1DB30	Duebendorf	Burkhart	30 min	active	NGS_UDP0065
Plate_1	F	6	8RB30	Riedgraben	Burkhart	30 min	active	NGS_UDP0066
Plate_1	F	7	8RB5	Riedgraben	Burkhart	5 hours	active	NGS_UDP0067
