phylum	class	order	family	genus	species
Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies	Abies alba
Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies	Abies nordmanniana
Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Abutilon	Abutilon theophrasti
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Acacia	Acacia dealbata
Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Acalypha	Acalypha australis
Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Acalypha	Acalypha virginica
Tracheophyta	Magnoliopsida	Lamiales	Acanthaceae	Acanthus	Acanthus mollis
Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer campestre
Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer cappadocicum
Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer monspessulanum
Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo
Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer opalus
Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer platanoides
Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer pseudoplatanus
Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer rubrum
Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer saccharinum
Tracheophyta	Liliopsida	Asparagales	Orchidaceae	Orchis	Orchis anthropophora
Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea ageratum
Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea atrata
Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea clavennae
Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea collina
Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea crithmifolia
Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea distans
Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea erba-rotta
Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea filipendulina
Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea macrophylla
Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	NA
Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea millefolium
Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea nana
Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea nobilis
Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea oxyloba
Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea pratensis
