seq	kingdom	phylum	class	order	family	genus	species
seq_0001	Plantae	Tracheophyta	Magnoliopsida	Rosales	Urticaceae	Urtica	Urtica dioica
seq_0002	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Plantaginaceae	Plantago	Plantago sp.
seq_0005	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Plantaginaceae	Plantago	Plantago major
seq_0006	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium	Trifolium sp.
seq_0008	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Lolium	Lolium sp.
seq_0009	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	NA	NA
seq_0010	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Filipendula	Filipendula ulmaria
seq_0012	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Brassica	Brassica sp.
seq_0014	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Plantaginaceae	Veronica	Veronica persica
seq_0015	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Festuca	Festuca rubra
seq_0017	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Chenopodium	Chenopodium sp.
seq_0018	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Medicago	Medicago sp.
seq_0019	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Festuca	Festuca sp.
seq_0022	Plantae	Tracheophyta	Magnoliopsida	Fagales	Betulaceae	Alnus	Alnus sp.
seq_0023	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Plantaginaceae	Plantago	Plantago lanceolata
seq_0026	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rubus	Rubus sp.
seq_0028	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium	Trifolium repens
seq_0029	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies	Abies alba
seq_0035	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Hypericaceae	Hypericum	Hypericum sp.
seq_0037	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	NA	NA
seq_0040	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Plantaginaceae	Veronica	Veronica sp.
seq_0041	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Lythraceae	Lythrum	Lythrum salicaria
seq_0042	Plantae	Tracheophyta	Magnoliopsida	Rosales	Cannabaceae	Cannabis	Cannabis sativa
seq_0046	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Mercurialis	Mercurialis annua
seq_0047	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea abies
seq_0056	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Fagus	Fagus sylvatica
seq_0060	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Onobrychis	Onobrychis sp.
seq_0065	Plantae	Tracheophyta	Magnoliopsida	Ericales	Balsaminaceae	Impatiens	Impatiens glandulifera
seq_0066	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Holcus	Holcus sp.
seq_0067	Plantae	Tracheophyta	Magnoliopsida	Solanales	Convolvulaceae	Convolvulus	Convolvulus arvensis
seq_0069	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Hordeum	Hordeum vulgare
seq_0073	Plantae	Tracheophyta	Magnoliopsida	Rosales	Cannabaceae	Humulus	Humulus lupulus
seq_0078	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Triticum	Triticum aestivum
seq_0079	Plantae	Tracheophyta	Magnoliopsida	Cucurbitales	Datiscaceae	Datisca	Datisca cannabina
seq_0093	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Triticum	Triticum sp.
seq_0100	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Poa	Poa sp.
seq_0101	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Agrostis	Agrostis sp.
seq_0108	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Lathyrus	Lathyrus sp.
seq_0109	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	Vicia lens
seq_0111	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	NA	NA
seq_0113	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Poa	Poa pratensis
seq_0126	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Amaranthus	Amaranthus sp.
seq_0127	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	Lotus pedunculatus
seq_0128	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Elymus	Elymus repens
seq_0134	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	NA	NA
seq_0140	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Arrhenatherum	Arrhenatherum elatius
seq_0142	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus sp.
seq_0145	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Taraxacum	Taraxacum sp.
seq_0147	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Poa	Poa trivialis
seq_0153	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Brassica	Brassica napus
seq_0156	Plantae	Bryophyta	Bryopsida	Hypnales	Plagiotheciaceae	Herzogiella	Herzogiella seligeri
seq_0157	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer pseudoplatanus
seq_0158	Plantae	Tracheophyta	Magnoliopsida	Apiales	Araliaceae	Hedera	Hedera helix
seq_0163	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Onagraceae	Epilobium	Epilobium sp.
seq_0165	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Daucus	Daucus carota
seq_0172	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Plantaginaceae	Veronica	Veronica filiformis
seq_0179	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Ranunculus	Ranunculus acris
seq_0180	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	NA	NA
seq_0189	Plantae	Marchantiophyta	Jungermanniopsida	Porellales	Lejeuneaceae	Leptolejeunea	Leptolejeunea radicosa
seq_0201	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Taraxacum	Taraxacum latilobum
seq_0202	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rubus	Rubus vestitus
seq_0204	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer platanoides
seq_0212	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Dactylis	Dactylis glomerata
seq_0213	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	NA	NA
seq_0222	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rosa	Rosa multiflora
seq_0226	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Glyceria	Glyceria notata
seq_0229	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	Vicia sp.
