seq	kingdom	phylum	class	order	family	genus	species
seq_00001	Plantae	Tracheophyta	Magnoliopsida	Rosales	Urticaceae	Urtica	Urtica dioica
seq_00016	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Plantaginaceae	Plantago	Plantago sp.
seq_00039	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Lolium	Lolium sp.
seq_00062	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium	Trifolium sp.
seq_00066	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Plantaginaceae	Plantago	Plantago major
seq_00115	Plantae	Tracheophyta	Magnoliopsida	Fagales	Betulaceae	Alnus	Alnus sp.
seq_00127	Plantae	Tracheophyta	Magnoliopsida	Ericales	Balsaminaceae	Impatiens	Impatiens glandulifera
seq_00163	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Solanum	Solanum dulcamara
seq_00170	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Plantaginaceae	Veronica	Veronica persica
seq_00276	Plantae	Tracheophyta	Magnoliopsida	Rosales	Cannabaceae	Humulus	Humulus lupulus
seq_00278	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Medicago	Medicago sp.
seq_00283	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rubus	Rubus sp.
seq_00297	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Chenopodium	Chenopodium sp.
seq_00314	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium	Trifolium repens
seq_00331	Plantae	Tracheophyta	Magnoliopsida	Rosales	Urticaceae	Laportea	Laportea canadensis
seq_00349	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Lolium	Lolium perenne
seq_00363	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Deschampsia	Deschampsia cespitosa
seq_00365	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Brassica	Brassica sp.
seq_00371	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	NA	NA
seq_00395	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Tussilago	Tussilago farfara
seq_00396	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Agrostis	Agrostis sp.
seq_00418	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Hordeum	Hordeum vulgare
seq_00434	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Fagus	Fagus sylvatica
seq_00470	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Galium	Galium mollugo
seq_00509	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Plantaginaceae	Veronica	Veronica sp.
seq_00515	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Amaranthus	Amaranthus sp.
seq_00525	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Holcus	Holcus sp.
seq_00546	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Triticum	Triticum sp.
seq_00700	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer platanoides
seq_00723	Plantae	Tracheophyta	Magnoliopsida	Fagales	Betulaceae	Corylus	Corylus sp.
seq_00733	Plantae	Bryophyta	Bryopsida	NA	NA	NA	NA
seq_00740	Plantae	Tracheophyta	Magnoliopsida	Solanales	Convolvulaceae	Convolvulus	Convolvulus arvensis
seq_00800	Plantae	Tracheophyta	Magnoliopsida	Solanales	Convolvulaceae	Calystegia	Calystegia sp.
seq_00808	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Ranunculus	Ranunculus acris
seq_00810	Plantae	Tracheophyta	Magnoliopsida	Rosales	Cannabaceae	Cannabis	Cannabis sativa
seq_00830	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Zea	Zea mays
seq_00831	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Onobrychis	Onobrychis sp.
seq_00854	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Lythraceae	Lythrum	Lythrum salicaria
seq_00901	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Oleaceae	Fraxinus	Fraxinus excelsior
seq_00925	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Taraxacum	Taraxacum sp.
seq_00940	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Dactylis	Dactylis glomerata
seq_00955	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Helianthus	Helianthus annuus
