taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
359	Mammalia	359	Mammalia	8	CLASS	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359									NE
2492478	Cercotrichas galactotes (Temminck, 1820)	5788860	Erythropygia galactotes (Temminck, 1820)	16	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Muscicapidae	9322	Erythropygia	4845640	Erythropygia galactotes	5788860	LC
5212973	Anguilla anguilla (Linnaeus, 1758)	5212973	Anguilla anguilla (Linnaeus, 1758)	1130	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Anguilliformes	495	Anguillidae	2949	Anguilla	2403092	Anguilla anguilla	5212973	CR
7192414	Larus michahellis michahellis	7192414	Larus michahellis michahellis	16	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Laridae	9316	Larus	2481126	Larus michahellis	9413670	
9796816	Miniopterus schreibersii (Kuhl, 1817)	9796816	Miniopterus schreibersii (Kuhl, 1817)	749	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Chiroptera	734	Miniopteridae	7456382	Miniopterus	2432501	Miniopterus schreibersii	9796816	VU
2479593	Nestor notabilis Gould, 1856	2479593	Nestor notabilis Gould, 1856	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Psittaciformes	1445	Psittacidae	9340	Nestor	9536524	Nestor notabilis	2479593	EN
4286327	Gasterosteus aculeatus Linnaeus, 1758	4286327	Gasterosteus aculeatus Linnaeus, 1758	50	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Gasterosteiformes	550	Gasterosteidae	7666	Gasterosteus	2333602	Gasterosteus aculeatus	4286327	LC
5229165	Aegypius monachus (Linnaeus, 1766)	5229165	Aegypius monachus (Linnaeus, 1766)	80	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Accipitriformes	7191147	Accipitridae	2877	Aegypius	2480441	Aegypius monachus	5229165	NT
5231233	Oenanthe pleschanka (Lepechin, 1770)	5231233	Oenanthe pleschanka (Lepechin, 1770)	15	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Muscicapidae	9322	Oenanthe	2492483	Oenanthe pleschanka	5231233	LC
5846430	Leucophaeus pipixcan (Wagler, 1831)	5846430	Leucophaeus pipixcan (Wagler, 1831)	29	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Laridae	9316	Leucophaeus	4352369	Leucophaeus pipixcan	5846430	NE
