phylum	class	order	family	genus	species	iucnRedListCategory	numberOfOccurrences	inGbif
Chordata	Amphibia	Anura	Alytidae	Alytes	Alytes obstetricans	LC	15473	TRUE
Chordata	Amphibia	Anura	Bombinatoridae	Bombina	Bombina orientalis	LC	1	TRUE
Chordata	Amphibia	Anura	Bombinatoridae	Bombina	Bombina variegata	LC	25079	TRUE
Chordata	Amphibia	Anura	Bufonidae	Bufo	Bufo bufo	LC	74545	TRUE
Chordata	Amphibia	Anura	Bufonidae	Bufotes	Bufotes viridis	LC	33	TRUE
Chordata	Amphibia	Anura	Bufonidae	Epidalea	Epidalea calamita	LC	11852	TRUE
Chordata	Amphibia	Anura	Hylidae	Hyla	Hyla arborea	LC	15324	TRUE
Chordata	Amphibia	Anura	Hylidae	Hyla	Hyla intermedia	LC	732	TRUE
Chordata	Amphibia	Anura	Ranidae	Pelophylax	Pelophylax bergeri	LC	1	TRUE
Chordata	Amphibia	Anura	Ranidae	Pelophylax	Pelophylax lessonae	NA	49	TRUE
Chordata	Amphibia	Anura	Ranidae	Pelophylax	Pelophylax ridibundus	LC	33	TRUE
Chordata	Amphibia	Anura	Ranidae	Rana	Rana arvalis	LC	2	TRUE
Chordata	Amphibia	Anura	Ranidae	Rana	Rana dalmatina	NA	2988	TRUE
Chordata	Amphibia	Anura	Ranidae	Rana	Rana latastei	VU	452	TRUE
Chordata	Amphibia	Anura	Ranidae	Rana	Rana temporaria	LC	99997	TRUE
Chordata	Amphibia	Anura	NA	NA	NA	NA	2	TRUE
Chordata	Amphibia	Caudata	Salamandridae	Ichthyosaura	Ichthyosaura alpestris	LC	67267	TRUE
Chordata	Amphibia	Caudata	Salamandridae	Lissotriton	Lissotriton helveticus	LC	20547	TRUE
Chordata	Amphibia	Caudata	Salamandridae	Lissotriton	Lissotriton vulgaris	LC	14702	TRUE
Chordata	Amphibia	Caudata	Salamandridae	Salamandra	Salamandra atra	LC	8987	TRUE
Chordata	Amphibia	Caudata	Salamandridae	Salamandra	Salamandra salamandra	LC	22407	TRUE
Chordata	Amphibia	Caudata	Salamandridae	Triturus	Triturus carnifex	LC	762	TRUE
Chordata	Amphibia	Caudata	Salamandridae	Triturus	Triturus cristatus	LC	5596	TRUE
Chordata	Amphibia	Caudata	Salamandridae	NA	NA	NA	1	TRUE
Chordata	Amphibia	NA	NA	NA	NA	NA	6	TRUE
Chordata	Aves	Accipitriformes	Accipitridae	Accipiter	Accipiter brevipes	LC	15	TRUE
Chordata	Aves	Accipitriformes	Accipitridae	Accipiter	Accipiter gentilis	LC	2483	TRUE
Chordata	Aves	Accipitriformes	Accipitridae	Accipiter	Accipiter nisus	LC	7617	TRUE
Chordata	Aves	Accipitriformes	Accipitridae	Aegypius	Aegypius monachus	NT	80	TRUE
Chordata	Aves	Accipitriformes	Accipitridae	Aquila	Aquila adalberti	VU	15	TRUE
Chordata	Aves	Accipitriformes	Accipitridae	Aquila	Aquila chrysaetos	LC	3857	TRUE
Chordata	Aves	Accipitriformes	Accipitridae	Aquila	Aquila clanga	VU	292	TRUE
Chordata	Aves	Accipitriformes	Accipitridae	Aquila	Aquila fasciata	LC	15	TRUE
Chordata	Aves	Accipitriformes	Accipitridae	Aquila	Aquila heliaca	VU	15	TRUE
Chordata	Aves	Accipitriformes	Accipitridae	Aquila	Aquila nipalensis	EN	15	TRUE
Chordata	Aves	Accipitriformes	Accipitridae	Aquila	Aquila pomarina	LC	18	TRUE
Chordata	Aves	Accipitriformes	Accipitridae	Buteo	Buteo buteo	LC	30088	TRUE
Chordata	Aves	Accipitriformes	Accipitridae	Buteo	Buteo lagopus	LC	53	TRUE
