Sample	seq_001	seq_002	seq_006	seq_011	seq_014	seq_018	seq_019	seq_023	seq_033	seq_069	seq_366	seq_459	seq_472
343961_001-NGS_UDP0001	146698	0	0	0	0	0	0	0	0	0	0	0	0
343961_002-NGS_UDP0002	227481	0	0	0	0	0	0	0	0	0	0	0	0
343961_003-NGS_UDP0003	227782	0	0	0	0	0	0	0	0	0	0	0	0
343961_004-NGS_UDP0004	2	0	0	0	0	0	0	0	0	0	0	0	0
343961_005-NGS_UDP0005	201126	0	0	0	0	0	0	0	0	0	0	0	0
343961_006-NGS_UDP0006	232173	0	0	0	0	0	0	0	0	0	0	0	0
343961_007-NGS_UDP0007	178530	0	0	0	0	0	0	0	0	0	0	0	0
343961_008-NGS_UDP0008	203411	0	0	0	0	0	0	0	0	0	0	0	0
343961_009-NGS_UDP0009	47331	0	0	0	0	0	0	0	0	0	0	0	0
343961_010-NGS_UDP0010	263140	0	0	0	0	0	0	0	0	0	0	0	0
343961_011-NGS_UDP0011	0	0	0	0	0	0	0	0	0	0	0	0	0
343961_013-NGS_UDP0013	169049	0	0	0	0	0	0	0	0	0	0	0	0
343961_014-NGS_UDP0014	0	0	0	0	0	0	0	0	0	0	0	0	0
343961_015-NGS_UDP0015	256996	0	0	0	0	0	0	0	0	0	0	2	0
343961_016-NGS_UDP0016	217091	0	0	0	0	0	0	0	0	0	0	0	0
343961_017-NGS_UDP0017	14977	0	0	0	0	0	0	0	0	0	0	0	0
343961_018-NGS_UDP0018	0	1	0	0	0	0	0	0	0	0	0	0	0
343961_019-NGS_UDP0019	183972	0	0	0	0	0	0	0	0	0	0	0	0
343961_020-NGS_UDP0020	0	1	0	0	0	0	0	0	0	0	0	0	0
343961_021-NGS_UDP0021	7	0	0	0	0	0	0	0	0	0	0	2	0
343961_022-NGS_UDP0022	179160	0	0	0	0	0	0	0	0	0	0	0	0
343961_023-NGS_UDP0023	6	0	0	0	0	0	0	0	0	0	0	0	0
343961_025-NGS_UDP0025	67353	0	0	0	0	0	0	0	0	0	0	0	0
343961_026-NGS_UDP0026	133239	0	0	0	0	0	0	0	0	0	0	0	0
343961_027-NGS_UDP0027	249964	0	0	0	0	0	0	0	0	0	0	0	0
343961_028-NGS_UDP0028	117169	0	0	0	0	0	0	0	0	0	0	0	0
343961_029-NGS_UDP0029	252887	0	0	0	0	0	0	0	0	0	0	0	0
343961_030-NGS_UDP0030	8	0	0	0	0	0	0	0	0	0	0	0	0
343961_031-NGS_UDP0031	204365	0	0	0	0	0	0	0	0	0	0	0	0
343961_032-NGS_UDP0032	1	0	0	0	0	0	0	0	0	0	0	0	0
343961_033-NGS_UDP0033	249927	0	0	0	0	0	0	0	0	0	0	0	0
343961_034-NGS_UDP0034	166614	0	0	0	0	0	0	0	0	0	0	0	0
343961_035-NGS_UDP0035	5	0	0	0	0	0	0	0	0	0	0	0	0
343961_037-NGS_UDP0037	0	0	0	0	0	0	0	0	0	0	0	0	0
343961_038-NGS_UDP0038	206151	0	0	0	0	0	0	0	0	0	0	0	0
343961_039-NGS_UDP0039	1497	0	0	0	0	0	0	0	0	0	0	0	0
343961_040-NGS_UDP0040	313465	0	0	0	0	0	0	0	0	0	0	0	0
343961_041-NGS_UDP0041	4	0	0	0	0	0	0	0	0	0	0	0	0
343961_042-NGS_UDP0042	104367	0	0	0	0	0	0	0	0	0	0	0	0
343961_043-NGS_UDP0043	222871	0	0	0	0	0	0	0	0	0	0	0	0
343961_044-NGS_UDP0044	222926	0	0	0	0	0	0	0	0	0	0	0	0
343961_045-NGS_UDP0045	335381	0	0	0	0	0	0	0	0	0	0	0	0
343961_046-NGS_UDP0046	210316	0	0	0	0	0	0	0	0	0	0	0	0
343961_047-NGS_UDP0047	5	0	0	0	0	0	0	0	0	0	0	0	0
343961_048-NGS_UDP0048	1	0	0	0	0	0	0	0	0	0	0	0	0
343961_049-NGS_UDP0049	0	0	0	0	0	0	0	0	0	0	0	0	0
343961_050-NGS_UDP0050	222790	0	0	0	0	0	0	0	0	0	0	0	0
343961_051-NGS_UDP0051	215963	0	0	0	0	0	0	0	0	0	0	0	0
343961_052-NGS_UDP0052	214892	0	0	0	0	0	0	0	0	0	0	0	0
343961_053-NGS_UDP0053	255599	0	0	0	0	0	0	0	0	0	0	0	0
343961_054-NGS_UDP0054	220016	0	0	0	0	0	0	0	0	0	0	0	0
343961_055-NGS_UDP0055	232066	0	0	0	0	0	0	0	0	0	0	0	0
343961_056-NGS_UDP0056	0	0	0	0	0	0	0	0	0	0	0	0	0
343961_057-NGS_UDP0057	172094	0	0	0	0	0	0	0	0	0	0	0	0
343961_058-NGS_UDP0058	4	0	0	0	0	0	0	0	0	0	0	0	0
343961_061-NGS_UDP0061	122	0	0	0	0	0	0	0	0	0	0	0	0
343961_062-NGS_UDP0062	237537	0	0	0	0	0	0	0	0	0	0	0	0
343961_063-NGS_UDP0063	0	0	0	0	0	0	0	0	0	0	0	0	0
343961_064-NGS_UDP0064	194781	0	0	0	0	0	0	0	0	0	0	0	0
343961_065-NGS_UDP0065	0	0	0	0	0	0	0	0	0	0	0	0	0
343961_066-NGS_UDP0066	9	0	0	0	0	0	0	0	0	0	0	0	0
343961_067-NGS_UDP0067	217082	0	0	0	0	0	0	0	0	0	0	0	0
343961_068-NGS_UDP0068	0	0	0	0	0	0	0	0	0	0	0	0	0
343961_069-NGS_UDP0069	0	0	0	0	0	0	0	0	0	0	0	0	0
343961_070-NGS_UDP0070	11	0	0	0	0	0	0	0	0	0	0	0	0
343961_073-NGS_UDP0073	3	0	0	0	0	0	0	0	0	0	0	0	0
343961_074-NGS_UDP0074	174205	0	0	0	0	0	0	0	0	0	0	0	0
343961_075-NGS_UDP0075	0	0	0	0	0	0	0	0	0	0	0	0	0
343961_076-NGS_UDP0076	3	0	0	0	0	0	0	0	0	0	0	0	0
343961_077-NGS_UDP0077	8	0	0	0	0	0	0	0	0	0	0	0	0
343961_078-NGS_UDP0078	5	0	0	0	0	0	0	0	0	0	0	0	0
343961_079-NGS_UDP0079	7	0	0	0	0	0	0	0	0	0	0	0	0
343961_080-NGS_UDP0080	4	0	0	0	0	0	0	0	0	0	0	0	0
343961_081-NGS_UDP0081	48555	0	0	0	0	0	0	0	0	0	0	0	0
343961_082-NGS_UDP0082	0	0	0	0	0	0	0	0	0	0	0	0	0
343961_083-NGS_UDP0083	0	1	0	0	0	0	0	0	0	0	0	0	0
343961_085-NGS_UDP0085	0	0	0	0	0	0	0	0	0	0	0	0	0
343961_086-NGS_UDP0086	267422	0	0	0	0	0	0	0	0	0	0	0	0
343961_087-NGS_UDP0087	7	0	0	0	0	0	0	0	0	0	0	0	0
343961_088-NGS_UDP0088	2	0	0	0	0	0	0	0	0	0	0	0	0
343961_089-NGS_UDP0089	146911	0	0	0	0	0	0	0	0	0	0	0	0
343961_090-NGS_UDP0090	0	0	0	0	0	0	0	0	0	0	0	0	0
343961_091-NGS_UDP0091	226603	0	0	0	0	0	0	0	0	0	0	0	0
343961_092-NGS_UDP0092	4	284059	0	0	0	0	0	0	0	0	0	0	0
343961_093-NGS_UDP0093	102557	0	0	0	0	0	0	0	0	0	0	0	0
343961_094-NGS_UDP0094	90657	0	0	0	0	0	0	0	0	0	0	0	0
343961_095-NGS_UDP0095	0	0	0	0	0	0	0	0	0	0	0	0	0
343961_097-NGS_UDP0097	0	0	0	0	0	0	0	0	0	0	0	0	0
343961_098-NGS_UDP0098	0	0	0	0	0	0	0	0	0	0	0	0	0
343961_099-NGS_UDP0099	8	0	0	0	0	0	0	0	0	0	0	0	0
343961_100-NGS_UDP0100	222595	0	0	0	0	0	0	0	0	0	0	0	0
343961_101-NGS_UDP0101	0	0	0	0	0	0	0	0	0	0	0	0	0
343961_102-NGS_UDP0102	0	0	0	0	133577	0	75622	0	0	0	0	0	0
343961_103-NGS_UDP0103	226637	0	0	0	0	0	0	0	0	0	0	0	0
343961_104-NGS_UDP0104	196751	0	0	0	0	0	0	0	0	0	0	0	0
343961_105-NGS_UDP0105	0	0	0	0	0	0	0	0	0	0	0	0	0
343961_109-NGS_UDP0109	0	0	0	0	0	0	0	0	0	0	0	0	0
343961_110-NGS_UDP0110	0	0	0	64240	0	84078	0	0	0	0	0	0	0
343961_111-NGS_UDP0111	163327	0	0	0	0	0	0	0	0	0	0	0	0
343961_112-NGS_UDP0112	241875	0	0	0	0	0	0	0	0	0	0	0	0
343961_113-NGS_UDP0113	6075	0	26370	95248	0	0	0	0	0	0	0	0	0
343961_114-NGS_UDP0114	0	0	0	0	0	0	0	0	0	0	0	0	0
