seq	kingdom	phylum	class	order	family	genus	species
seq_001	Animalia	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
seq_002	Animalia	Chordata	Aves	Galliformes	Phasianidae	Gallus	Gallus gallus
seq_006	Animalia	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
seq_011	Animalia	Chordata	Aves	Passeriformes	Paridae	Parus	Parus major
seq_014	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Buteo	Buteo sp.
seq_018	Animalia	Chordata	Aves	Passeriformes	Sylviidae	Sylvia	Sylvia atricapilla
seq_019	Animalia	Chordata	Aves	Pelecaniformes	Ardeidae	Ardea	Ardea cinerea
seq_023	Animalia	Chordata	Aves	Passeriformes	Turdidae	Turdus	Turdus merula
seq_033	Animalia	Chordata	Aves	Anseriformes	Anatidae	NA	NA
seq_069	Animalia	Chordata	Aves	Passeriformes	Passeridae	Passer	Passer sp.
seq_366	Animalia	Chordata	Aves	Anseriformes	Anatidae	NA	NA
seq_459	Animalia	Chordata	Aves	Passeriformes	Paridae	Poecile	Poecile palustris
seq_472	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Bos	Bos taurus
